price	title	description	link	image_link	id	availability	product_type
134.10 UAH	Сосиски Fit Food Bbq Вегетарианские 200г	Сосиски fit food bbq вегетарианские 200г	https://foodlogistic.com.ua/ru/sosiski-fit-food-bbq-vegetarianski-200g/	https://foodlogistic.com.ua/content/images/19/390x390l80tl0/86730948440908.jpeg	1234885	in stock	Каталог
74.70 UAH	Сосиски Алан Фитнес с Мясом Кролика Вареные в/с 225г	Сосиски алан фитнес с мясом кролика вареные в/с 225г	https://foodlogistic.com.ua/ru/sosiski-alan-fitnes-z-myasom-krolika-vareni-v-s-225g/	https://foodlogistic.com.ua/content/images/20/512x300l80tl0/85709921327760.png	1234879	in stock	Каталог
65.70 UAH	Сосиски Алан Fitness Вареные в/с 225г	Сосиски алан fitness вареные в/с 225г	https://foodlogistic.com.ua/ru/sosiski-alan-fitness-vareni-v-s-225g/	https://foodlogistic.com.ua/content/images/21/390x390l80tl0/32732757857917.jpeg	1234880	in stock	Каталог
107.10 UAH	Сосиски Алан Венские Вареные 376г	Сосиски алан венские вареные 376г	https://foodlogistic.com.ua/ru/sosiski-alan-videnski-vareni-376g/	https://foodlogistic.com.ua/content/images/22/390x390l80tl0/60420161363171.jpeg	1234881	in stock	Каталог
81.00 UAH	Сосиски Алан Детские Вареные в/с 330г	Сосиски алан детские вареные в/с 330г	https://foodlogistic.com.ua/ru/sosiski-alan-dityachi-vareni-v-s-330g/	https://foodlogistic.com.ua/content/images/23/390x390l80tl0/31193916134346.jpeg	1234882	in stock	Каталог
432.90 UAH	Колбаски Алан Охотничьи Полукопченые в/с	Колбаски алан охотничьи полукопченые в/с	https://foodlogistic.com.ua/ru/kovbaski-alan-mislivski-napivkopcheni-v-s/	https://foodlogistic.com.ua/content/images/24/390x390l80tl0/13193587522728.jpeg	1234883	in stock	Каталог
154.80 UAH	Сардельки Organic Meat Органические 420г	Сардельки organic meat органические 420г	https://foodlogistic.com.ua/ru/sardelki-organic-meat-organichni-420g/	https://foodlogistic.com.ua/content/images/25/350x350l80tl0/48562272956698.jpeg	1234886	in stock	Каталог
119.70 UAH	Сосиски Organic Meat с Молоком Органические Высший Сорт 360г	Сосиски organic meat с молоком органические высший сорт 360г	https://foodlogistic.com.ua/ru/sosiski-organic-meat-z-molokom-organichni-vishchiy-sort-360g/	https://foodlogistic.com.ua/content/images/26/390x390l80tl0/81039988162140.jpeg	1234887	in stock	Каталог
128.70 UAH	Колбаски Organic Meat Полукопченые Органические Первый Сорт 300г	Колбаски organic meat полукопченые органические первый сорт 300г	https://foodlogistic.com.ua/ru/kovbaski-organic-meat-napivkopcheni-organichni-pershiy-sort-300g/	https://foodlogistic.com.ua/content/images/27/390x390l80tl0/60460720971087.jpeg	1234888	in stock	Каталог
126.00 UAH	Сосиски Organic Meat Для Питания Детей Дошкольного и Школьного Возраста Органические Высший Сорт 350г	Сосиски organic meat для питания детей дошкольного и школьного возраста органические высший сорт 350г	https://foodlogistic.com.ua/ru/sosiski-organic-meat-dlya-kharchuvannya-ditey-doshkilnogo-ta-shkilnogo-viku-organichni-vishchiy-sort-350g/	https://foodlogistic.com.ua/content/images/28/390x390l80tl0/40357151126037.jpeg	1234889	in stock	Каталог
22.57 UAH	Сосиски Со Сливками "Особенные"	Сосиски со сливками "особенные"	https://foodlogistic.com.ua/ru/sosiski-z-vershkami-osoblivi-100g/	https://foodlogistic.com.ua/content/images/29/254x390l80tl0/32110446113047.png	1234929	in stock	Каталог
43.36 UAH	Сосиски Из Мяса Утки	Сосиски из мяса утки	https://foodlogistic.com.ua/ru/sosiski-z-myasa-kachki-100g/	https://foodlogistic.com.ua/content/images/30/587x390l80tl0/22346451645295.jpeg	1234930	in stock	Каталог
51.08 UAH	Сосиски Из Мяса Кролика	Сосиски из мяса кролика	https://foodlogistic.com.ua/ru/sosiski-z-myasa-krolika-100g/	https://foodlogistic.com.ua/content/images/31/565x390l80tl0/16599496656048.jpeg	1234931	in stock	Каталог
40.39 UAH	Сосиски Из Мяса Ягненка	Сосиски из мяса ягненка	https://foodlogistic.com.ua/ru/sosiski-z-myasa-yagnyati-100g/	https://foodlogistic.com.ua/content/images/32/585x390l80tl0/74502252084987.jpeg	1234932	in stock	Каталог
26.33 UAH	Сосиски "Венские"	Сосиски "венские"	https://foodlogistic.com.ua/ru/sosiski-videnski-100g/	https://foodlogistic.com.ua/content/images/33/390x390l80tl0/67206382283208.png	1234933	in stock	Каталог
339.25 UAH	Хамон Иберико 24 Мес Блок Tello	Хамон иберико 24 мес блок tello	https://foodlogistic.com.ua/ru/khamon-iberiko-24-mis-blok-ello-100g/	https://foodlogistic.com.ua/content/images/5/382x390l80tl0/92259535393447.jpeg	98636	in stock	Каталог
414.00 UAH	Хамон Иберико	Хамон иберико	https://foodlogistic.com.ua/ru/khamon-iberiko-100gispanaya/	https://foodlogistic.com.ua/content/images/6/371x390l80tl0/32831281947541.jpeg	50030	in stock	Каталог
132.30 UAH	Ветчина Алан Фитнесс Из Индюшиного Филе Вареная в/с 400г	Ветчина алан фитнесс из индюшиного филе вареная в/с 400г	https://foodlogistic.com.ua/ru/shinka-alan-fitnes-z-indichogo-file-varena-v-s-400g/	https://foodlogistic.com.ua/content/images/45/390x390l80tl0/74338140990492.png	1234849	in stock	Каталог
29.00 UAH	Ветчина Ятрань Орех Мясной копчено-вареная Высший Сорт	Ветчина ятрань орех мясной копчено-вареная высший сорт	https://foodlogistic.com.ua/ru/shinka-yatran-gorikh-myasniy-kopcheno-varena-vishchiy-sort-100gr/	https://foodlogistic.com.ua/content/images/46/390x390l80tl0/41648896564335.jpeg	1234850	in stock	Каталог
29.00 UAH	Ветчина Ятрань Юбилейная копчено-вареная в/с	Ветчина ятрань юбилейная копчено-вареная в/с	https://foodlogistic.com.ua/ru/shinka-yatran-uvileyna-kopcheno-varena-v-s-100gr/	https://foodlogistic.com.ua/content/images/47/390x390l80tl0/75790882221761.jpeg	1234851	in stock	Каталог
23.00 UAH	Бекон Ятрань Испанский варено-копченый Высшего Сорта	Бекон ятрань испанский варено-копченый высшего сорта	https://foodlogistic.com.ua/ru/bekon-yatran-ispanska-vareno-kopcheniy-vishchogo-gatunku-100gr/	https://foodlogistic.com.ua/content/images/48/350x350l80tl0/97657813633395.jpeg	1234852	in stock	Каталог
28.00 UAH	Бекон Запеченный в/с	Бекон запеченный в/с	https://foodlogistic.com.ua/ru/bekon-zapecheniy-v-s-100gr/	https://foodlogistic.com.ua/content/images/49/390x390l80tl0/69274139545921.jpeg	1234853	in stock	Каталог
30.00 UAH	Колбаса Алан Фитнес Люкс Из Говядины Вареная в/с	Колбаса алан фитнес люкс из говядины вареная в/с	https://foodlogistic.com.ua/ru/kovbasa-alan-fitnes-luks-z-yalovichini-varena-v-s-100gr/	https://foodlogistic.com.ua/content/images/50/512x300l80tl0/26866199745295.png	1234858	in stock	Каталог
25.00 UAH	Колбаса Алан Докторская Вареная Натуральная Оболочка в/с	Колбаса алан докторская вареная натуральная оболочка в/с	https://foodlogistic.com.ua/ru/kovbasa-alan-doktorska-varena-naturalna-obolonka-v-s-100gr/	https://foodlogistic.com.ua/content/images/1/350x350l80tl0/29874574262521.jpeg	1234859	in stock	Каталог
